lang,id,company,project_name,province,location,capital_cost,capital_cost_range,status,clean_technology,clean_technology_type,line_type,lat,lon,paths,type,source_org,source_url
en,0996,"AltaLink, ATCO",Central East Area Transmission Development,Alberta,Multiple locations,513.00,500 - 750,Under Construction,No,N/A,Transmission,,,"[[{""lon"": -110.8995250775973, ""lat"": 52.84847622790844}, {""lon"": -110.26338681525446, ""lat"": 52.48095427247306}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0126,Connacher Oil & Gas Ltd.,Great Divide,Alberta,Regional Municipality of Wood Buffalo (RMWB),600.00,500 - 750,Planned,No,N/A,Pipeline,,,"[[{""lon"": -111.82931544365083, ""lat"": 56.11350731592327}, {""lon"": -111.51219189344253, ""lat"": 56.146339143882436}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0651,FortisBC Energy (Vancouver Island) Inc.,Eagle Mountain - Woodfibre LNG Gas Pipeline Projects,British Columbia,Coquitlam to Squamish,350.00,250 - 500,Under Construction,No,N/A,Pipeline,,,"[[{""lon"": -122.79309839543868, ""lat"": 49.28492264787294}, {""lon"": -123.16078757162828, ""lat"": 49.714269623244}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4231,Enbridge Frontier Inc.,Frontier NGL Plant and Pipeline Project,British Columbia,Chetwynd,"2,500.00","2,500 - 5,000",Planned,No,N/A,Pipeline,,,"[[{""lon"": -121.66892388778616, ""lat"": 55.71251502712359}, {""lon"": -120.72301079854081, ""lat"": 56.15324116754652}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0885,Pacific Northern Gas Ltd.,Pacific Northern Gas Pipeline Looping Project,British Columbia,Kitimat To Summit Lake,"1,300.00","1,000 - 2,500",Planned,No,N/A,Pipeline,,,"[[{""lon"": -128.68556181861072, ""lat"": 54.03302404275836}, {""lon"": -122.63654198142927, ""lat"": 54.270993856528875}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0650,TransCanada,Prince Rupert Gas Transmission Project,British Columbia,North Montney to Port Edward (near Prince Rupert),"5,000.00","5,000 - 10,000",Planned,No,N/A,Pipeline,,,"[[{""lon"": -130.29346010802482, ""lat"": 54.23554282730339}, {""lon"": -122.01143165468748, ""lat"": 56.186844993859964}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,1023,Nukik Corp.,Kivalliq Hydro Fibre Link,Multiple,Gillam to Baker Lake,"3,200.00","2,500 - 5,000",Planned,Yes,Hydro,Transmission,,,"[[{""lon"": -96.08108123795023, ""lat"": 64.32352700092815}, {""lon"": -92.09020595410392, ""lat"": 62.852285803744955}, {""lon"": -93.85470654436244, ""lat"": 56.67014512837238}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6063,Northriver Midstream NEBC Connector GP Inc.,NEBC Connector Project,Multiple,"NW of Wonovon, BC & Gordondale, AB",450.00,250 - 500,Planned,No,N/A,Pipeline,,,"[[{""lon"": -122.0580179950256, ""lat"": 56.92280600646155}, {""lon"": -119.6917170664486, ""lat"": 55.839706295661244}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6104,NTPC,Whati Transmission Line,Northwest Territories,Whati to Snare Hydro Complex,41.50,10 - 50 ,Planned,Yes,Hydro,Transmission,,,"[[{""lon"": -116.73558351352949, ""lat"": 63.25242788954209}, {""lon"": -116.61002049354275, ""lat"": 63.27000690983897}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8134,Hydro One,Greater Toronto Area East Line Durham Kawartha Power Line,Ontario,"Pickering/Oshawa, Peterborough",298.00,250 - 500,Planned,No,N/A,Transmission,,,"[[{""lon"": -79.11390331526452, ""lat"": 43.85240863311178}, {""lon"": -78.84660323977157, ""lat"": 43.98230866757875}, {""lon"": -78.9320032982593, ""lat"": 44.311308720706165}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8130,Hydro One,Longwood to Lakeshore Phase 1,Ontario,Municipality of Strathroy-Caradoc to Municipality of Lakeshore,800.00,"750 - 1,000",Planned,No,N/A,Transmission,,,"[[{""lon"": -81.62679402842653, ""lat"": 42.95939835627326}, {""lon"": -82.70597430586251, ""lat"": 42.31002818826645}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8131,Hydro One,Longwood to Lakeshore Phase 2,Ontario,Municipality of Strathroy-Caradoc to Municipality of Lakeshore,800.00,"750 - 1,000",Planned,No,N/A,Transmission,,,"[[{""lon"": -81.62679402842653, ""lat"": 42.95939835627326}, {""lon"": -82.70597430586251, ""lat"": 42.31002818826645}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8132,Hydro One,Mississagi to Third Line Transmission Line North Shore Link Project,Ontario,"Wharncliffe, Sault Ste. Marie",250.00,250 - 500,Planned,No,N/A,Transmission,,,"[[{""lon"": -83.38830494393625, ""lat"": 46.420008838524176}, {""lon"": -84.32880525809954, ""lat"": 46.54500880450048}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8133,Hydro One,Northeast Power Line (Mississagi to Hanmer Transmissio Line),Ontario,"Wharncliffe, Sudbury",530.00,500 - 750,Planned,No,N/A,Transmission,,,"[[{""lon"": -83.38830494393625, ""lat"": 46.420008838524176}, {""lon"": -80.92080417506084, ""lat"": 46.63170900785126}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4000,Hydro One,Northwest Bulk Transmission Line Waasigan Transmission Line,Ontario,Thunder Bay to Dryden,"1,200.00","1,000 - 2,500",Under Construction,No,N/A,Transmission,,,"[[{""lon"": -89.24195708819956, ""lat"": 48.58398878515795}, {""lon"": -91.61500784379284, ""lat"": 48.74362863409662}, {""lon"": -92.84547841733615, ""lat"": 49.854038682594}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8137,PUC Transmisison,PUC Transmissionx Project,Ontario,Sault Ste. Marie,189.00,100 - 250,Planned,No,N/A,Transmission,,,"[[{""lon"": -84.39065727586261, ""lat"": 46.5273917973633}, {""lon"": -84.32880525809954, ""lat"": 46.54500880450048}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8136,Hydro One,St. Thomas Line (including Centennial Transformer Station & Line),Ontario,City of London to St. Thomas,400.00,250 - 500,Planned,No,N/A,Transmission,,,"[[{""lon"": -81.1605128809628, ""lat"": 42.93962837493266}, {""lon"": -81.15351986738781, ""lat"": 42.793748349566286}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6089,Hydro One,St.Clair Transmission Line,Ontario,"St.Clair, Chatham Kent",471.90,250 - 500,Planned,No,N/A,Transmission,,,"[[{""lon"": -82.0953441230177, ""lat"": 42.385228232002554}, {""lon"": -82.70597430586251, ""lat"": 42.31002818826645}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8135,TBD  Hydro One,Wawa to Porcupine,Ontario,"Timmins, Greater Sudbury",600.00,500 - 750,Planned,No,N/A,Transmission,,,"[[{""lon"": -84.5469445005294, ""lat"": 47.88515089361095}, {""lon"": -94.90912907573089, ""lat"": 48.46564544491719}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4073,PEI Energy Corporation,Western PEI Transmission Upgrade,Prince Edward Island,"Western Prince County, PEI",44.00,10 - 50 ,Planned,No,N/A,Transmission,,,"[[{""lon"": -63.77626077337365, ""lat"": 46.43472346996201}, {""lon"": -64.11740865242652, ""lat"": 46.96495485839825}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,3206,Hydro-Québec,New England Clean Energy Connect (NECEC) project,Quebec,Across the Quebec border through Beattie township Maine to Lewiston Maine,950.00,"750 - 1,000",Under Construction,No,N/A,Transmission,,,"[[{""lon"": -70.98428277917243, ""lat"": 45.72302928630145}, {""lon"": -69.96081940375113, ""lat"": 45.333579251748986}, {""lon"": -70.21551841404592, ""lat"": 44.10385202430323}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0547,Hydro-Québec,Raccordement du complexe de La Romaine au réseau de transport,Quebec,Camp satellite line 34 5KV,"1,300.00","1,000 - 2,500",Under Construction,No,N/A,Transmission,,,"[[{""lon"": -63.127846286720974, ""lat"": 50.48894626974321}, {""lon"": -66.57519553477161, ""lat"": 50.22393715100787}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,3208,"Transmission Developers Inc. (TDI),",Transmission Line - Champlain Hudson Power Express,Quebec,Runs south from Canada-US border to the New York metro area,"2,200.00","1,000 - 2,500",Under Construction,No,N/A,Transmission,,,"[[{""lon"": -73.34309052831851, ""lat"": 45.09613609269886}, {""lon"": -73.92068542400284, ""lat"": 40.76311926957715}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8021,Horizon New Energy,Aira Solar Project,Alberta,Forty Mile County No. 8,700.00,500 - 750,Under Construction,Yes,Solar,,49.593546980098836,-110.93400418104007,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4188,Alpin Sun,Airport City Solar,Alberta,Leduc County,169.00,100 - 250,Planned,Yes,Solar,,53.291085568662865,-113.5936694692827,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8022,hep Energy,Alderson Solar Power Project,Alberta,Cypress County,150.00,100 - 250,Under Construction,Yes,Solar,,50.35223699524816,-111.36066847007169,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0399,Canadian Natural Resources Limited,AOSP Jackpine,Alberta,Fort McMurray,"12,000.00","10,000 +",Planned,No,N/A,,57.224504531129696,-111.36769668637707,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8008,Northstar Clean Technologies,Asphalt Shingle Reprocessing Facility,Alberta,Rocky View County,15.00,10 - 50 ,Under Construction,Yes,Other,,50.99367376151539,-113.90162320322803,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8024,Skyline Clean Energy Fund,Bassano 435S DER Solar,Alberta,Newell County,15.00,10 - 50 ,Planned,Yes,Solar,,50.6740259163967,-112.31131976780539,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0207,Harvest Operations Corp.,BlackGold Oil Sands Project,Alberta,Regional Municipality of Wood Buffalo (SE of Conklin),900.00,"750 - 1,000",Planned,No,N/A,,55.58264649024491,-110.9730248301697,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0075,IPC Canada Ltd.,Blackrod,Alberta,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,"2,927.00","2,500 - 5,000",Under Construction,No,N/A,,55.611718192527775,-112.61193843788737,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8025,ENGIE Development Canada LP,Buffalo Trail North Wind Project,Alberta,Cypress County,200.00,100 - 250,Planned,Yes,Wind,,49.84235606340341,-110.32929810639786,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,5047,Air Products,Canada Net-Zero Hydrogen Energy Complex,Alberta,Strathcona County,"4,570.00","2,500 - 5,000",Under Construction,Yes,Multiple,,53.58732799303856,-113.3159718726142,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4224,WindRiver Power Corp. & TC Energy,Canyon Creek Hydro Power Project (storage),Alberta,Yellowhead County,200.00,100 - 250,Planned,Yes,Hydro,,53.53011154187485,-117.52454425439852,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6016,Voltarix Group,Creekside Solar Project (Fortis Buford 538S DER Solar),Alberta,Leduc County,43.00,10 - 50 ,Planned,Yes,Solar,,53.24715291243408,-113.82518687368807,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8007,MYTILINEOS Energy & Metals,Dolcy Solar Project,Alberta,Wainwright No. 61,275.00,250 - 500,Planned,Yes,Solar,,52.68557526410013,-110.47290292641775,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,7026,ENMAX Energy Corp.,Enmax Substation No. 1,Alberta,Calgary,207.00,100 - 250,Under Construction,No,N/A,,51.04532474470257,-114.08001425483637,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8001,Renewable Energy Systems Canada Inc.,Enterprise Solar Project,Alberta,Vulcan County,175.00,100 - 250,Planned,Yes,Solar,,50.37388877900198,-113.35782491617891,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8010,ATCO,Forty Mile Solar Farm,Alberta,Forty Mile County No. 8,400.00,250 - 500,Planned,Yes,Solar,,49.696514952160506,-111.27160428155803,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,7035,Green Impact Partners (In partnership with Carbon Clean Energy and PCL Construction),Future Energy Park Renewable Natural Gas and Ethanol Project,Alberta,Calgary,"1,500.00","1,000 - 2,500",Planned,Yes,Bioenergy,,51.010139761953205,-113.91401420907387,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6026,TransAlta Corporation,Ghost River WaterCharger Battery Energy Storage,Alberta,Rocky View County,208.40,100 - 250,Planned,Yes,Energy Storage,,51.21778868494428,-114.70461843700394,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6028,Entropy Inc.,Glacier Gas Plant CCS,Alberta,Saddle Hills County,127.00,100 - 250,Under Construction,Yes,Carbon Capture and Storage,,55.559547296971765,-119.60377693245539,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8013,Kineticor Resource Corp.,Greenlight Electricity Centre,Alberta,Sturgeon County,"4,500.00","2,500 - 5,000",Planned,No,N/A,,53.828815024705335,-113.17863492462718,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4198,Climate Transition Development Corporation,Greenview Geothermal Power Plant (Alberta No. 1),Alberta,Greenview No. 16,106.00,100 - 250,Planned,Yes,Geothermal,,54.84183341959331,-117.6498575653256,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0089,Canadian Natural Resources Limited,Grouse,Alberta,Hudson Hope,"1,500.00","1,000 - 2,500",Planned,No,N/A,,55.466299088800085,-111.75578167788436,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8017,Gibson Energy & Varme Energy JV,Heartland Waste to Power Project,Alberta,Strathcona County,300.00,250 - 500,Planned,Yes,Carbon Capture and Storage,,53.775940037341286,-113.04027587325821,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,7040,Heidelberg Materials,Heidelberg Materials Carbon Capture Utilization and Storage Hub,Alberta,Edmonton,"1,360.00","1,000 - 2,500",Planned,Yes,Carbon Capture and Storage,,53.57980695822925,-113.60601493535256,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,7042,Kiwetinohk Energy Corp,Homestead Solar Project,Alberta,Willow Creek No. 26,600.00,500 - 750,Planned,Yes,Solar,,49.98142074177492,-113.44601383107721,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8037,Varme Energy,Innisfail Waste to Energy Project,Alberta,Innisfail,200.00,100 - 250,Planned,Yes,Bioenergy,,52.01528981949161,-113.97490751757867,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0841,Canadian Natural Resources Limited,Jackfish,Alberta,Regional Municipality of Wood Buffalo (SE of Conklin),750.00,"750 - 1,000",Planned,No,N/A,,55.527907399695295,-110.87381498492836,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,7047,Northland Power,Jurassic Solar and Battery Storage,Alberta,Cypress County,500.00,500 - 750,Under Construction,Yes,Solar,,50.66321104513456,-111.11601349770832,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6036,Imperial Oil,Kearl Oil Sand In-Pit Tailings Project,Alberta,Wood Buffalo,750.00,"750 - 1,000",Under Construction,No,N/A,,57.41143546491772,-111.16349881604737,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0422,Suncor Energy Inc.,Lewis,Alberta,Regional Municipality of Wood Buffalo,"6,200.00","5,000 - 10,000",Planned,No,N/A,,56.94062750751476,-111.0483611526399,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,7057,Northland Power Luna I GP Inc,Luna Solar+ Project,Alberta,Newell County,700.00,500 - 750,Planned,Yes,Solar,,50.60377491848504,-112.23601373213037,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8004,Federation Group,Marguerite Lake Compressed Air Energy Storage,Alberta,Bonnyville No. 87,500.00,500 - 750,Planned,Yes,Energy Storage,,54.58571435205573,-110.80400462793247,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6062,Voltarix Group,Moon Lake Solar Project,Alberta,Parkland County,43.00,10 - 50 ,Under Construction,Yes,Solar,,53.42250078412357,-114.99053218644902,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8042,Canadian Natural Resources Ltd. (CNRL),Naphtha Recovery Unit Tailings Treatment Project,Alberta,Wood Buffalo,350.00,250 - 500,Under Construction,No,N/A,,57.34739237729774,-111.84100795950293,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8029,Renewable Energy Systems Canada Inc.,Nova Solar Project,Alberta,Wheatland County,225.00,100 - 250,Planned,Yes,Bioenergy,,50.84036279377887,-113.52506107992372,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,7069,The Pathways Alliance,Pathways Alliance Carbon Capture Storage Hub (Phase 1),Alberta,Improvement District No. 349|Wood Buffalo|Lac la Biche County|Improvement District No. 24 Wood Buffalo|Bonnyville No. 87,"16,500.00","10,000 +",Planned,Yes,Carbon Capture and Storage,,58.15284035767626,-112.28501642926246,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8009,Peace Energy Cooperative,Peace River Energy Project,Alberta,Peace River,11.00,10 - 50 ,Under Construction,Yes,Solar,,56.24325961802046,-117.35159675881134,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8043,EDF EN Canada,Pe-Na-Koyim Wind Project,Alberta,Blood 148,425.00,250 - 500,Planned,Yes,Wind,,49.44702573738304,-113.12142762346306,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4126,Devon Energy Corporation/ BP JV,Pike,Alberta,Regional Municipality of Wood Buffalo,"1,900.00","1,000 - 2,500",Planned,No,N/A,,55.59941238878263,-110.99578104140443,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0140,Canadian Natural Resources Limited,Pike (Formely Kirby),Alberta,Lac la Biche County,"7,700.00","5,000 - 10,000",Under Construction,No,N/A,,55.448226400882255,-110.82403594354774,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6083,Voltarix Group,Rocktree Solar Project (Fortis Stony Plain 434S DER Solar),Alberta,Parkland County,40.00,10 - 50 ,Planned,Yes,Solar,,53.515094918936676,-113.91209598176626,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6084,City of Medicine Hat,Saamis Solar Farm,Alberta,Medicine Hat,120.00,100 - 250,Planned,Yes,Solar,,50.07068104136028,-110.70735324998958,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0684,Strathcona Resources (formerly Osum Oil Sands Corp.),Sepiko Kesik Project,Alberta,Municipal District of Opportunity,"3,200.00","2,500 - 5,000",Planned,No,N/A,,56.689006357656304,-113.13101269811,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6088,Expander Energy,Slave Lake Bio-Mass/Gas to Liquids Plant,Alberta,Lesser Slave River No.124,35.00,10 - 50 ,Under Construction,Yes,Bioenergy,,55.26504493081816,-114.57518575876578,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,7081,ABO Wind Canada Ltd.,Stettler Solar and Battery Storage Project,Alberta,Stettler County No. 6,160.00,100 - 250,Planned,Yes,Solar,,52.29043997702485,-112.75601433198032,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6090,Imperial Oil Ltd.,Strathcona Refinery Renewable Diesel Expansion,Alberta,Strathcona County,720.00,500 - 750,Under Construction,Yes,Bioenergy,,53.546099982986796,-113.38417287374237,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8006,METLEN Energy & Metals,Sunnynook Solar Project,Alberta,Special Area No. 2,385.00,250 - 500,Under Construction,Yes,Solar,,51.325488045728534,-111.55785977985856,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0858,ConocoPhillips Canada,Surmont,Alberta,Regional Municipality of Wood Buffalo,"6,000.00","5,000 - 10,000",Planned,No,N/A,,56.193607428181664,-110.950615259331,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0105,Suncor Energy Inc.,Syncrude (Mildred Lake Extension),Alberta,Regional Municipality of Wood Buffalo (RMWB),"3,300.00","2,500 - 5,000",Under Construction,No,N/A,,55.639007409698884,-110.84681502112532,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0850,Syncrude Canada Ltd.,Syncrude Mildred Lake Extension,Alberta,Mildred Lake,"3,300.00","2,500 - 5,000",Under Construction,No,N/A,,57.04521839482405,-111.58510376639647,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,5038,TransAlta Renewables,Tempest Wind Power Project,Alberta,Flagstaff County,105.00,100 - 250,Planned,Yes,Wind,,52.55555110940332,-111.76417718776113,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0607,Value Creation Inc.,TriStar Advanced (In Situ + Upgrader),Alberta,Regional Municipality of Wood Buffalo (RMWB),"2,000.00","1,000 - 2,500",Planned,No,N/A,,56.736821431867355,-111.15659353076784,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4057,EDF Renewables Canada,Vulcan Solar Project,Alberta,Vulcan County,155.00,100 - 250,Planned,Yes,Solar,,50.40378979208051,-113.25314690001144,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,9012,O'Leary Ventures,Wonder Valley AI Data Centre Park (Phase 1),Alberta,Greenview No. 16,"16,620.00","10,000 +",Planned,No,N/A,,54.811932389186026,-118.68336645342089,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8047,Ulkatcho Energy Corporation,Anahim Lake Solar Project,British Columbia,Anahim Lake,30.00,10 - 50 ,Under Construction,Yes,Solar,,52.46187545796873,-125.30183675686074,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,5018,Tlingit Homeland Energy Limited Partnership (THELP),Atlin Hydro Expansion project,British Columbia,Atlin,315.00,250 - 500,Planned,Yes,Hydro,,59.582978309458504,-133.64456514110927,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4104,Canfor Corporation/Licella,Biofuel Facility,British Columbia,Prince George,70.00,50 - 100,Planned,Yes,Bioenergy,,53.92241583182545,-122.74572286801184,,point,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
